epsilon,index,key,s,t,x,y,z
5.350233639758174,5.0,439,,80,937.0,404.0,15.0
0.3535533905932738,6.0,440,,80,957.0,575.0,25.0
4.911720676097125,7.0,441,,80,960.5,346.0,21.0
0.3535533905932738,8.0,434,,80,969.5,445.5,27.0
,9.0,445,,80,1387.5,122.0,26.0
,0.0,446,,81,822.5,568.0,28.5
11.629703349612976,1.0,436,,81,833.0,537.5,27.5
13.418271125595854,2.0,437,,81,857.0,482.0,27.0
1.360147050873536,3.0,438,,81,881.0,370.0,17.0
0.31622776601680197,4.0,444,,81,889.5,588.0,25.5
,5.0,447,,81,890.5,484.5,27.0
,6.0,448,,81,935.0,481.0,14.5
1.1401754250991478,7.0,439,,81,939.0,413.0,12.5
0.8062257748298127,8.0,440,,81,960.5,585.0,25.0
1.2649110640673877,9.0,441,,81,962.0,355.5,20.5
,10.0,449,,81,984.0,482.0,15.0
,11.0,450,,81,1356.5,127.0,26.0
,12.0,451,,81,1387.5,200.5,27.0
,0.0,452,,82,138.5,169.5,2.0
,1.0,453,,82,163.5,193.0,1.5
,2.0,454,,82,200.0,159.5,0.5
,3.0,455,,82,228.5,226.0,2.0
,4.0,456,,82,267.0,188.0,1.5
,5.0,457,,82,268.5,239.0,1.5
,6.0,458,,82,346.0,179.5,2.0
,7.0,459,,82,379.0,188.0,2.0
,8.0,460,,82,618.0,50.0,3.5
,9.0,461,,82,737.0,107.5,3.5
,10.0,462,,82,1073.0,102.0,4.0
12.751089278088283,0.0,452,,83,171.5,173.5,2.5
,1.0,463,,83,383.0,181.5,3.0
,2.0,464,,83,419.0,187.0,3.0
12.669133531715714,3.0,460,,83,626.5,49.5,1.5
,4.0,465,,83,1077.5,99.5,4.0
,0.0,466,,84,225.0,199.0,2.5
,1.0,467,,84,260.5,196.5,1.5
,2.0,468,,84,282.0,218.0,2.0
12.590298844745504,3.0,464,,84,322.5,208.5,1.5
,4.0,469,,84,324.0,252.5,1.5
,5.0,470,,84,408.0,200.0,3.5
,6.0,471,,84,1065.0,125.0,4.0
,0.0,472,,85,330.5,199.0,2.0
,1.0,473,,85,1037.0,103.5,3.0
,0.0,474,,86,266.0,161.0,3.0
,1.0,475,,86,338.0,184.5,2.0
,2.0,476,,86,339.0,212.5,2.0
,3.0,477,,86,1009.5,111.0,3.5
,0.0,478,,87,225.5,323.0,2.0
,1.0,479,,87,262.5,151.0,2.5
2.850438562747845,2.0,475,,87,336.0,190.0,2.0
2.850438562747845,3.0,476,,87,342.5,219.5,1.5
,4.0,480,,87,985.5,106.5,2.5
,0.0,481,,88,311.5,193.5,2.5
,1.0,482,,88,355.5,227.5,3.5
,0.0,483,,89,367.5,231.0,3.5
0.0,0.0,483,,90,393.0,222.5,3.0
,0.0,484,,91,257.0,171.5,2.0
,1.0,485,,91,324.5,226.5,2.5
,2.0,486,,91,365.5,176.5,1.5
,3.0,487,,91,409.0,210.0,1.5
,4.0,488,,91,437.5,161.0,4.5
,5.0,489,,91,491.0,144.5,4.0
,0.0,490,,92,343.5,190.5,3.5
11.302961755418101,1.0,488,,92,453.5,171.5,1.5
,0.0,491,,93,330.5,178.0,4.5
,1.0,492,,93,394.0,194.0,3.0
,0.0,493,,94,379.0,182.0,2.5
,0.0,494,,95,351.0,172.5,4.0
,1.0,495,,95,409.5,185.5,2.0
,0.0,496,,96,315.0,139.5,2.0
,1.0,497,,96,325.5,185.0,1.5
,2.0,498,,96,363.5,203.5,1.5
,3.0,499,,96,430.5,166.5,1.0
,4.0,500,,96,434.0,3.5,8.0
,5.0,501,,96,451.5,229.5,2.5
,0.0,502,,97,371.0,146.5,2.0
10.342234069849491,1.0,498,,97,376.5,181.0,2.0
,2.0,503,,97,421.0,2.5,7.0
,3.0,504,,97,449.0,161.5,1.5
,0.0,505,,98,333.0,130.0,2.5
